,name,gender,time,place,timezone,Rodden Rating,Category
15,"


Terrorism: 2017 shooting of Paris police officers
"," N/A

","20 April 2017 at 21:00  (= 9:00 PM )
","Paris Arrondissement 8, France, 48n5240,  2e1904 
","MEDT h2e (is daylight saving time)
",A,Pages with broken file links&Mundane : Disasters : Deranged Actions&Mundane : Political : Terrorist attacks
17,"


Historic: 2018 Attica wildfires
"," N/A

","23 July 2018 at 13:00  (= 1:00 PM )
","Mégara, Greece, 38n01,  23e21 
","EEDT h3e (is daylight saving time)
",C,Mundane : Disasters : Natural Disasters
18,"


Nature: 2018 Oaxaca Mexico earthquake
"," N/A

","16 February 2018 at 23:39:39  (= 11:39 PM )
","San Pedro Jicayán, Mexico, 16n25,  97w59 
","h0w h0w
",AA,Mundane : Disasters : Natural Disasters
19,"


Nature: 2018 Volcán de Fuego eruption
"," N/A

","3 June 2018 at 12:00  (= 12:00 noon )
","Escuintla, Guatemala, 14n18,  90w47 
","CST h6w (is standard time)
",A,Mundane : Disasters : Natural Disasters
20,"


Historic: 2019 Notre-Dame de Paris fire
"," N/A

","15 April 2019 at 18:50  (= 6:50 PM )
","Paris Arrondissement 4, France, 48n5122,  2e2120 
","MEDT h2e (is daylight saving time)
",A,Mundane : Disasters : Accidents
24,"


Nature: 2021 India Uttarakhand glacier burst
"," N/A

","7 February 2021 at 10:45  (= 10:45 AM )
","Rishikesh, India, 30n07,  78e42 
","IST h5e30 (is standard time)
",A,Mundane : Disasters : Natural Disasters
25,"


Accident: 2021 Mount Meron Crush
"," N/A

","30 April 2021 at 00:50  (= 12:50 AM )
","Meron, Israel, 32n59,  35e26 
","IDT h3e (is daylight saving time)
",A,Mundane : Disasters : Accidents
26,"


2022 Crimean Bridge explosion
"," N/A

","8 October 2022 at 06:07  (= 06:07 AM )
","Kerch, Ukraine, 45n22,  36e27 
","MSK h3e (is standard time)
",A,Mundane : Disasters : Deranged Actions
29,"


Mortality: 2022 Perpignan explosion
"," N/A

","14 February 2022 at 01:30  (= 01:30 AM )
","Perpignan, France, 42n41,  2e53 
","CET h1e (is standard time)
",A,Mundane : Disasters : Deranged Actions
30,"


2023 Brovary helicopter crash
"," N/A

","18 January 2023 at 08:20  (= 08:20 AM )
","Brovary, Ukraine, 50n31,  30e46 
","EET h2e (is standard time)
",A,Mundane : Disasters : Accidents
31,"


2023 Dnipro missile strikes
"," N/A

","14 January 2023 at 15:30  (= 3:30 PM )
","Dnipro, Ukraine, 48n28,  35e0227 
","EET h2e (is standard time)
",A,Mundane : Disasters : Deranged Actions
32,"


Plane crash: 2023 Yeti Airlines Flight 691
"," N/A

","15 January 2023 at 11:00  (= 11:00 AM )
","Pokhara, Nepal, 28n14,  83e59 
","+054 h5e45 (is standard time)
",A,Mundane : Disasters : Accidents
33,"


Nature: 2023 Turkey earthquake
"," N/A

","6 February 2023 at 04:17  (= 04:17 AM )
","Gaziantep, Turkey, 37n05,  37e22 
","+03 h3e (is standard time)
",A,Mundane : Disasters : Natural Disasters
34,"


A, Dominique
"," M

","6 October 1968 at 17:35  (= 5:35 PM )
","Provins, France, 48n33,  3e18 
","MET h1e (is standard time)
",AA,"1968 births&Birthday 6 October&Birthplace Provins, FR&Sun 13 Libra&Moon 15 Aries&Asc 24 Pisces&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
35,"


A-Trak
"," M

","30 March 1982 at 08:00  (= 08:00 AM )
","Montréal, Quebec (CAN), 45n31,  73w34 
","EST h5w (is standard time)
",C,"1982 births&Birthday 30 March&Birthplace Montréal, QU (CAN)&Sun 9 Aries&Moon 17 Gemini&Asc 3 Gemini&Vocation : Business : Business owner&Vocation : Business : Top executive&Vocation : Entertain/Business : Entertain Producer&Vocation : Writers : Columnist/ journalist&Notable : Awards : Vocational award&Notable : Famous : Top 5% of Profession"
36,"


A. Chal
"," M

","30 May 1986 at 21:02  (= 9:02 PM )
","Lima, Peru, 12s03,  77w03 
","-05 h5w (is standard time)
",AA,"1986 births&Birthday 30 May&Birthplace Lima, PERU&Sun 9 Gemini&Moon 15 Pisces&Asc 24 Capricorn&Lifestyle : Home : Expatriate&Personal : Misc. : Changed name&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Vocation : Entertain/Music : Vocalist/ Rapper&Vocation : Entertain/Music : Other Entertain/Music"
37,"


A. D. G.
"," M

","19 December 1947 at 20:00  (= 8:00 PM )
","Tours, France, 47n23,  0e41 
","MET h1e (is standard time)
",AA,"1947 births&Birthday 19 December&Birthplace Tours, FR&Sun 27 Sagittarius&Moon 16 Pisces&Asc 3 Leo&2004 deaths&Personal : Death : Illness/ Disease&Vocation : Writers : Columnist/ journalist&Vocation : Writers : Detective/ Mystery&Vocation : Writers : Fiction"
38,"


A. J. Croce
"," M

","28 September 1971 at 08:45  (= 08:45 AM )
","Bryn Mawr (Delaware County), Pennsylvania, 40n0116,  75w1901 
","EDT h4w (is daylight saving time)
",B,"1971 births&Birthday 28 September&Birthplace Bryn Mawr (Delaware County), PA (US)&Sun 4 Libra&Moon 14 Capricorn&Asc 25 Libra&Passions : Criminal Victim : Assault/ Battery victim&Vocation : Business : Business owner&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
39,"


AJA
"," M

","4 January 1994 at 07:30  (= 07:30 AM )
","New York, New York, 40n43,  74w00 
","EST h5w (is standard time)
",C,"1994 births&Birthday 4 January&Birthplace New York, NY (US)&Sun 13 Capricorn&Moon 7 Libra&Asc 15 Capricorn&Traits : Body : Race&Family : Childhood : Family traumatic event&Passions : Sexuality : Transvestite&Vocation : Entertainment : TV series/ Soap star&Vocation : Entertain/Music : Vocalist/ Rapper"
40,"


ATL, Scotty
"," M

","15 January 1985 at 08:25  (= 08:25 AM )
","Atlanta, Georgia (US), 33n45,  84w23 
","EST h5w (is standard time)
",A,"1985 births&Birthday 15 January&Birthplace Atlanta, GA (US)&Sun 25 Capricorn&Moon 15 Scorpio&Asc 6 Aquarius&Traits : Body : Race&Vocation : Business : Entrepreneur&Vocation : Business/Marketing : Real estate&Vocation : Entertain/Music : Song writer&Vocation : Entertain/Music : Vocalist/ Rapper&Vocation : Entertain/Business : Entertain Producer"
41,"


Aabel, Andreas
"," M

","21 February 1911 at 03:00  (= 03:00 AM )
","Oslo, Norway, 59n55,  10e45 
","MET h1e (is standard time)
",AA,"1911 births&Birthday 21 February&Birthplace Oslo, NOR&Sun 1 Pisces&Moon 0 Sagittarius&Asc 2 Sagittarius&1948 deaths&Personal : Death : Illness/ Disease&Vocation : Entertainment : Actor/ Actress&Vocation : Writers : Translator"
42,"


Aabel, Per
"," M

","25 April 1902 at 07:15  (= 07:15 AM )
","Oslo, Norway, 59n55,  10e45 
","MET h1e (is standard time)
",AA,"1902 births&Birthday 25 April&Birthplace Oslo, NOR&Sun 4 Taurus&Moon 1 Sagittarius&Asc 4 Cancer&1999 deaths&Family : Relationship : Married late/never&Family : Parenting : Kids none&Passions : Sexuality : Gay&Personal : Death : Long life more than 80 yrs&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : Voice-Over&Notable : Awards : Medals&Notable : Awards : Other Awards"
43,"


Aadland, Beverly
"," F

","16 September 1942 at 11:45  (= 11:45 AM )
","Los Angeles, California, 34n03,  118w15 
","PWT h7w (is war time)
",A,"1942 births&Birthday 16 September&Birthplace Los Angeles, CA (US)&Sun 23 Virgo&Moon 11 Sagittarius&Asc 26 Scorpio&Family : Relationship : Marriage less than 3 Yrs&Family : Relationship : Mate - Age difference more than 15 yrs&Family : Relationship : Mate - Noted&Family : Relationship : Number of Marriages&Passions : Criminal Perpetrator : Homicide involvement&Passions : Criminal Victim : Rape/ Sex crime victim&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Vocation : Sex Business : Courtesan/ Escort&Vocation : Writers : Autobiographer&Notable : Famous : Newsmaker&Notable : Book Collection : Profiles Of Women"
44,"


Aadland, Florence
"," F

","20 September 1914 at 23:50  (= 11:50 PM )
","Salt Lake City, Utah, 40n46,  111w53 
","MST h7w (is standard time)
",A,"1914 births&Birthday 20 September&Birthplace Salt Lake City, UT (US)&Sun 27 Virgo&Moon 16 Libra&Asc 10 Cancer&1965 deaths&Diagnoses : Body Part Problems : Liver/Pancreas/Spleen&Diagnoses : Psychological : Abuse Alcohol&Family : Relationship : Mate - Age difference more than 15 yrs&Family : Relationship : Mate - Interracial&Family : Parenting : Kids - Noted&Vocation : Business : Business owner&Vocation : Writers : Autobiographer&Vocation : Writers : Columnist/ journalist&Notable : Famous : Newsmaker&Notable : Book Collection : Profiles Of Women"
45,"


Aafjes, Bertus
"," M

","12 May 1914 at 20:00  (= 8:00 PM )
","Amsterdam, Netherlands, 52n22,  4e54 
","AMT m4e53 (is standard time)
",C,"1914 births&Birthday 12 May&Birthplace Amsterdam, NETH&Sun 21 Taurus&Moon 1 Capricorn&Asc 25 Scorpio&Vocation : Writers : Fiction&Vocation : Writers : Poet"
46,"


Aage, Count of Rosenborg
"," M

","10 June 1887 at 13:00  (= 1:00 PM )
","Copenhagen, Denmark, 55n40,  12e35 
","LMT m12e35 (is local mean time)
",A,"1887 births&Birthday 10 June&Birthplace Copenhagen, DEN&Sun 19 Gemini&Moon 15 Aquarius&Asc 2 Libra&1940 deaths&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Vocation : Military : Military career&Vocation : Military : Wounded&Vocation : Writers : Autobiographer"
47,"


Aakvik, Liv
"," F

","23 June 1948 at 19:15  (= 7:15 PM )
","Oslo, Norway, 59n55,  10e45 
","CET h1e (is standard time)
",AA,"1948 births&Birthday 23 June&Birthplace Oslo, NOR&Sun 2 Cancer&Moon 27 Capricorn&Asc 5 Sagittarius&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : Voice-Over&Vocation : Writers : Playwright/ script"
48,"


Van Aal-Pomarès, Henri François
"," M

","4 January 1933 at 12:30  (= 12:30 PM )
","Alicante, Spain, 38n21,  0w29 
","GMT h0w (is standard time)
",AA,"1933 births&Birthday 4 January&Birthplace Alicante, SPAIN&Sun 13 Capricorn&Moon 22 Aries&Asc 3 Taurus&Vocation : Entertainment : TV host/ Personality&Vocation : Politics : Government employee"
49,"


Aalberg, André
"," M

","5 June 1913 at 08:30  (= 08:30 AM )
","Ste.Marie aux Mines, France, 48n15,  7e11 
","MET h1e (is standard time)
",AA,"1913 births&Birthday 5 June&Birthplace Ste.Marie aux Mines, FR&Sun 14 Gemini&Moon 20 Gemini&Asc 3 Leo&1943 deaths&Vocation : Military : Combat&Vocation : Military : Honors"
50,"


Aalberg, André
"," M

","5 June 1913 at 08:30  (= 08:30 AM )
","Ste.Marie aux Mines, France, 48n15,  7e11 
","MET h1e (is standard time)
",AA,"1913 births&Birthday 5 June&Birthplace Ste.Marie aux Mines, FR&Sun 14 Gemini&Moon 20 Gemini&Asc 3 Leo&1943 deaths&Vocation : Military : Combat&Vocation : Military : Honors"
51,"


Aalderen, Herman Jan van
"," M

","4 October 1886 at 03:00  (= 03:00 AM )
","Zwolle, Netherlands, 52n31,  6e06 
","LMT m6e06 (is local mean time)
",AA,"1886 births&Birthday 4 October&Birthplace Zwolle, NETH&Sun 10 Libra&Moon 1 Capricorn&Asc 7 Virgo&1945 deaths&Traits : Personality : Courageous&Vocation : Military : POW/ MIA&Vocation : Travel : Crew/ Ship, Train, Bus"
52,"


Aalders, Willem Jan
"," M

","19 September 1870 at 21:00  (= 9:00 PM )
","Amsterdam, Netherlands, 52n22,  4e54 
","LST m4e53 (is standard time)
",AA,"1870 births&Birthday 19 September&Birthplace Amsterdam, NETH&Sun 26 Virgo&Moon 17 Cancer&Asc 17 Gemini&1945 deaths&Vocation : Education : Researcher&Vocation : Religion : Ecclesiastics/ western"
53,"


Aaliyah
"," F

","16 January 1979 at 08:43  (= 08:43 AM )
","Brooklyn (Kings County), New York, 40n38,  73w56 
","EST h5w (is standard time)
",DD,"1979 births&Birthday 16 January&Birthplace Brooklyn (Kings County), NY (US)&Sun 25 Capricorn&Moon 1 Virgo&Asc 22 Aquarius&2001 deaths&Traits : Body : Appearance gorgeous&Family : Childhood : Family extraordinarily supportive&Family : Childhood : Order of birth&Family : Childhood : Sibling circumstances&Family : Relationship : Marriage less than 3 Yrs&Family : Relationship : Married early less than 18&Family : Relationship : Mate - Noted&Lifestyle : Work : Start young less than 16&Personal : Death : Accidental&Personal : Death : Short Life less than 29 Yrs&Vocation : Beauty : Model&Vocation : Beauty : Sex-symbol&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : Child performer&Vocation : Entertainment : Live Stage&Vocation : Entertain/Music : Dancer/ Teacher&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Notable : Awards : Vocational award"
54,"


Aames, Willie
"," M

","15 July 1960 at 21:05  (= 9:05 PM )
","Newport Beach, California, 33n37,  117w56 
","PDT h7w (is daylight saving time)
",AA,"1960 births&Birthday 15 July&Birthplace Newport Beach, CA (US)&Sun 23 Cancer&Moon 29 Aries&Asc 13 Aquarius&Diagnoses : Psychological : Abuse Alcohol&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : Child performer&Vocation : Entertainment : TV host/ Personality&Vocation : Entertainment : TV series/ Soap star&Vocation : Entertainment : Voice-Over&Vocation : Entertain/Music : Group/ Duo&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Vocation : Entertain/Business : Director&Vocation : Entertain/Business : Entertain Producer&Vocation : Writers : Playwright/ script"
55,"


Aantjes, Willem
"," M

","16 January 1923 at 13:00  (= 1:00 PM )
","Bleskensgraaf, Netherlands, 51n52,  4e47 
","AMT m4e53 (is standard time)
",C,"1923 births&Birthday 16 January&Birthplace Bleskensgraaf, NETH&Sun 25 Capricorn&Moon 18 Capricorn&Asc 12 Gemini&2015 deaths&Traits : Personality : Idealist&Vocation : Politics : Party Affiliation&Vocation : Politics : Postal service&Vocation : Politics : Public office"
56,"


Aaron, Dave
"," M

","13 October 1942 at 00:01  (= 12:01 AM )
","Mount Clemens, Michigan, 42n36,  82w53 
","EWT h4w (is war time)
",A,"1942 births&Birthday 13 October&Birthplace Mount Clemens, MI (US)&Sun 19 Libra&Moon 28 Scorpio&Asc 18 Cancer&Diagnoses : Body Part Problems : Heart&Family : Parenting : Primary care of elderly&Personal : Religion/Spirituality : UFO Experience&Vocation : Business : Business owner"
57,"


Aaron, Didier
"," M

","27 April 1923 at 15:35  (= 3:35 PM )
","Paris, France, 48n52,  2e20 
","GMT h0e (is standard time)
",AA,"1923 births&Birthday 27 April&Birthplace Paris, FR&Sun 6 Taurus&Moon 20 Virgo&Asc 0 Libra&2009 deaths&Vocation : Art : Other Art&Vocation : Business : Other Business"
58,"


Aaron, Hank
"," M

","5 February 1934 at 20:25  (= 8:25 PM )
","Mobile, Alabama, 30n42,  88w03 
","CST h6w (is standard time)
",AA,"1934 births&Birthday 5 February&Birthplace Mobile, AL (US)&Sun 16 Aquarius&Moon 0 Scorpio&Asc 24 Virgo&Traits : Body : Race&Traits : Personality : Loved by all&Diagnoses : Body Part Problems : Legs&Family : Relationship : Number of Marriages&Family : Parenting : Kids more than 3&Lifestyle : Work : Same Job more than 10 yrs&Lifestyle : Work : Work in team/ Tandem&Passions : Criminal Victim : Social crime victim&Personal : Death : Long life more than 80 yrs&Vocation : Sports : Baseball&Notable : Awards : Vocational award&Notable : Famous : Notable extremes&Notable : Famous : Top 5% of Profession&Notable : Book Collection : American Book"
59,"


Aaron, Harold Robert
"," M

","21 June 1921 at 07:00  (= 07:00 AM )
","Kokomo, Indiana, 40n29,  86w08 
","CST h6w (is standard time)
",AA,"1921 births&Birthday 21 June&Birthplace Kokomo, IN (US)&Sun 29 Gemini&Moon 12 Capricorn&Asc 3 Leo&1980 deaths&Family : Parenting : Kids more than 3&Vocation : Military : Honors&Vocation : Military : Military career&Vocation : Science : Other Science"
60,"


Aaron, Jean-Claude
"," M

","2 August 1916 at 03:00  (= 03:00 AM )
","Marseille, France, 43n18,  5e24 
","GDT h1e (is daylight saving time)
",AA,"1916 births&Birthday 2 August&Birthplace Marseille, FR&Sun 9 Leo&Moon 12 Virgo&Asc 8 Cancer&2006 deaths&Vocation : Building Trades : Other Building Trades&Vocation : Business : Consultant"
61,"


Aarts, Johannes Josephus
"," M

","26 November 1871 at 03:00  (= 03:00 AM )
","Den Haag, Netherlands, 52n05,  4e19 
","LMT m4e19 (is local mean time)
",AA,"1871 births&Birthday 26 November&Birthplace Den Haag, NETH&Sun 3 Sagittarius&Moon 22 Taurus&Asc 13 Libra&1934 deaths&Vocation : Art : Commercial artist&Vocation : Art : Fine art artist&Vocation : Education : Teacher"
62,"


Aas, Arne
"," M

","7 July 1931 at 07:00  (= 07:00 AM )
","Oslo, Norway, 59n55,  10e45 
","CET h1e (is standard time)
",AA,"1931 births&Birthday 7 July&Birthplace Oslo, NOR&Sun 14 Cancer&Moon 6 Aries&Asc 19 Leo&2000 deaths&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Business : Director"
63,"


Aas, Roald
"," M

","25 March 1928 at 10:00  (= 10:00 AM )
","Oslo, Norway, 59n55,  10e45 
","MET h1e (is standard time)
",AA,"1928 births&Birthday 25 March&Birthplace Oslo, NOR&Sun 4 Aries&Moon 23 Taurus&Asc 13 Cancer&2012 deaths&Vocation : Business : Middle Management&Vocation : Sports : Race Bikes&Vocation : Sports : Skating&Notable : Awards : Olympics&Notable : Awards : Sports Championship"
64,"


Aas, Ulf
"," M

","14 September 1919 at 11:00  (= 11:00 AM )
","Oslo, Norway, 59n55,  10e45 
","MET h1e (is standard time)
",AA,"1919 births&Birthday 14 September&Birthplace Oslo, NOR&Sun 20 Virgo&Moon 17 Taurus&Asc 8 Scorpio&2011 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Writers : Columnist/ journalist&Notable : Awards : Other Awards"
65,"


Aasen, Kristin Kloster
"," F

","4 January 1961 at 18:20  (= 6:20 PM )
","Oslo, Norway, 59n55,  10e45 
","CET h1e (is standard time)
",AA,"1961 births&Birthday 4 January&Birthplace Oslo, NOR&Sun 14 Capricorn&Moon 14 Leo&Asc 13 Leo&Vocation : Business : Business owner&Vocation : Law : Attorney&Vocation : Law : Jurist&Vocation : Sports : Equestrian"
66,"


Aavikko, Armi
"," F

","1 September 1958 at 09:15  (= 09:15 AM )
","Helsinki, Finland, 60n10,  24e58 
","EET h2e (is standard time)
",A,"1958 births&Birthday 1 September&Birthplace Helsinki, FIN&Sun 8 Virgo&Moon 12 Aries&Asc 14 Libra&Vocation : Beauty : Beauty Queen/ King&Vocation : Beauty : Model&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
67,"


Abad, Andy
"," M

","11 November 1968 at 15:53  (= 3:53 PM )
","Hollywood, California, 34n06,  118w20 
","PST h8w (is standard time)
",A,"1968 births&Birthday 11 November&Birthplace Hollywood, CA (US)&Sun 19 Scorpio&Moon 4 Leo&Asc 1 Taurus&Vocation : Entertain/Music : Group/ Duo&Vocation : Entertain/Music : Instrumentalist"
68,"


Abadie, Daniel
"," M

","8 July 1945 at 09:35  (= 09:35 AM )
","Courbevoie, France, 48n54,  2e15 
","WEMT h2e (is daylight saving time)
",AA,"1945 births&Birthday 8 July&Birthplace Courbevoie, FR&Sun 15 Cancer&Moon 29 Gemini&Asc 25 Leo&Vocation : Art : Other Art"
69,"


Abadie, Joseph
"," M

","15 December 1873 at 16:00  (= 4:00 PM )
","Tarbes, France, 43n14,  0e05 
","LMT m0e05 (is local mean time)
",AA,"1873 births&Birthday 15 December&Birthplace Tarbes, FR&Sun 23 Sagittarius&Moon 4 Scorpio&Asc 18 Gemini&1934 deaths&Vocation : Healing Fields : Psychiatrist&Vocation : Medical : Physician"
70,"


Abadie, Jules
"," M

","12 August 1876 at 23:00  (= 11:00 PM )
","Blaye et Ste.Luce, France, 45n08,  0w39 
","LMT m0w39 (is local mean time)
",AA,"1876 births&Birthday 12 August&Birthplace Blaye et Ste.Luce, FR&Sun 20 Leo&Moon 21 Taurus&Asc 0 Gemini&1953 deaths&Family : Parenting : Kids 1-3&Vocation : Medical : Surgeon&Vocation : Politics : Public office"
71,"


Abagnale, Frank
"," M

","27 April 1948
","Bronxville, New York, 40n56,  73w50 
","EDT h4w (is daylight saving time)
",XX,"1948 births&Birthday 27 April&Birthplace Bronxville, NY (US)&Sun 7 Taurus&Traits : Personality : Attention seeking&Family : Relationship : Marriage more than 15 Yrs&Family : Parenting : Kids 1-3&Passions : Criminal Perpetrator : Social crime/ delinquent"
72,"


Abair, Mindi
"," F

","23 May 1969 at 16:43  (= 4:43 PM )
","St.Petersburg, Florida, 27n46,  82w41 
","EDT h4w (is daylight saving time)
",A,"1969 births&Birthday 23 May&Birthplace St.Petersburg, FL (US)&Sun 2 Gemini&Moon 25 Leo&Asc 17 Libra&Vocation : Entertainment : Radio/ D.J./ Announcer&Vocation : Entertain/Music : Composer/ Arranger&Vocation : Entertain/Music : Conductor&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Notable : Awards : Grammy"
73,"


Abalan, Michel
"," M

","5 June 1920 at 23:00  (= 11:00 PM )
","Brest, France, 48n24,  4w29 
","GDT h1e (is daylight saving time)
",AA,"1920 births&Birthday 5 June&Birthplace Brest, FR&Sun 14 Gemini&Moon 0 Aquarius&Asc 9 Capricorn&2000 deaths&Vocation : Military : Combat&Vocation : Military : Honors"
74,"


Abalo, Luc
"," M

","6 September 1984 at 16:40  (= 4:40 PM )
","Ivry, France, 48n49,  2e23 
","MEDT h2e (is daylight saving time)
",AA,"Pages with broken file links&1984 births&Birthday 6 September&Birthplace Ivry, FR&Sun 14 Virgo&Moon 3 Aquarius&Asc 28 Sagittarius&Vocation : Sports : Other Sports&Notable : Awards : Olympics"
75,"


Abarbanell, Lina
"," F

","3 January 1879 at 22:00  (= 10:00 PM )
","Berlin, Germany, 52n29,  13e21 
","LMT m13e21 (is local mean time)
",AA,"1879 births&Birthday 3 January&Birthplace Berlin, GER&Sun 13 Capricorn&Moon 19 Taurus&Asc 18 Virgo&1963 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Entertainment : Comedy&Vocation : Entertain/Music : Vocalist/Opera"
76,"


Abascal Infante, Salvador
"," M

","18 May 1910 at 22:00  (= 10:00 PM )
","Morelia, Mexico, 19n42,  101w07 
","LMT m101w07 (is local mean time)
",AA,"1910 births&Birthday 18 May&Birthplace Morelia, MEX&Sun 27 Taurus&Moon 2 Libra&Asc 16 Capricorn&Vocation : Politics : Activist/ political"
77,"


Abatantuono, Diego
"," M

","20 May 1955 at 02:00  (= 02:00 AM )
","Milano, Italy, 45n28,  9e12 
","MET h1e (is standard time)
",AA,"1955 births&Birthday 20 May&Birthplace Milano, ITALY&Sun 28 Taurus&Moon 2 Taurus&Asc 12 Pisces&Vocation : Entertainment : Actor/ Actress&Vocation : Writers : Playwright/ script"
78,"


Abati, Joël
"," M

","25 April 1970 at 10:45  (= 10:45 AM )
","Fort-de-France, Martinique, 14n36,  61w05 
","AST h4w (is standard time)
",AA,"1970 births&Birthday 25 April&Birthplace Fort-de-France, MART&Sun 4 Taurus&Moon 24 Sagittarius&Asc 17 Cancer&Vocation : Sports : Other Sports"
79,"


Abati, Joël
"," M

","25 April 1970 at 10:45  (= 10:45 AM )
","Fort-de-France, Martinique, 14n36,  61w05 
","AST h4w (is standard time)
",AA,"1970 births&Birthday 25 April&Birthplace Fort-de-France, MART&Sun 4 Taurus&Moon 24 Sagittarius&Asc 17 Cancer&Vocation : Sports : Other Sports"
80,"


Abba, Marta
"," F

","25 June 1900 at 23:00  (= 11:00 PM )
","Milano, Italy, 45n28,  9e12 
","MET h1e (is standard time)
",AA,"1900 births&Birthday 25 June&Birthplace Milano, ITALY&Sun 3 Cancer&Moon 19 Gemini&Asc 27 Aquarius&1988 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Business : Entertain Producer"
81,"


Abbado, Claudio
"," M

","26 June 1933 at 02:00  (= 02:00 AM )
","Milan, Italy, 45n28,  9e12 
","MET h1e (is standard time)
",AA,"1933 births&Birthday 26 June&Birthplace Milan, ITALY&Sun 3 Cancer&Moon 6 Leo&Asc 19 Taurus&2014 deaths&Traits : Body : Appearance gorgeous&Traits : Mind : Memory&Family : Childhood : Family noted&Family : Childhood : Order of birth&Family : Childhood : Sibling circumstances&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Lifestyle : Work : Work in team/ Tandem&Vocation : Entertain/Music : Conductor&Notable : Book Collection : Culture Collection"
